ph,salinity,moisture,tds,light,temperature,humidity,timestamp
422,865,38,1017,84,31.5,50,2023-09-27 3:50:12.100
422,867,37,1017,84,31.6,50,2023-09-27 3:50:16.100
419,870,34,1021,84,31.5,50,2023-09-27 3:50:20.100
420,868,37,1020,84,31.5,50,2023-09-27 3:50:24.100
419,867,36,1021,84,31.6,49,2023-09-27 3:50:28.100
422,867,34,1019,84,31.5,50,2023-09-27 3:50:32.100
423,866,38,1018,84,31.6,50,2023-09-27 3:50:36.100
422,867,36,1018,84,31.5,50,2023-09-27 3:50:40.100
422,867,37,1015,84,31.6,50,2023-09-27 3:50:44.100
421,866,36,1017,84,31.6,50,2023-09-27 3:50:48.100
420,870,34,1021,84,31.5,50,2023-09-27 3:50:52.100
420,870,35,1019,84,31.6,50,2023-09-27 3:50:56.100
421,865,38,1020,84,31.6,50,2023-09-27 3:51:00.100
421,865,35,1021,84,31.6,50,2023-09-27 3:51:04.100
422,866,37,1017,84,31.6,50,2023-09-27 3:51:08.100
420,868,36,1018,84,31.6,50,2023-09-27 3:51:12.100
421,865,36,1019,84,31.6,50,2023-09-27 3:51:16.100
423,868,36,1018,84,31.6,50,2023-09-27 3:51:20.100
419,866,34,1021,84,31.6,50,2023-09-27 3:51:24.100
421,867,35,1018,84,31.6,50,2023-09-27 3:51:28.100
420,869,34,1019,84,31.6,50,2023-09-27 3:51:32.100
420,869,33,1020,84,31.6,50,2023-09-27 3:51:36.100
420,867,36,1022,84,31.6,50,2023-09-27 3:51:40.100
420,869,33,1018,85,31.6,50,2023-09-27 3:51:44.100
420,869,34,1021,85,31.6,50,2023-09-27 3:51:48.100
421,868,34,1022,85,31.6,50,2023-09-27 3:51:52.100
421,866,36,1018,85,31.6,50,2023-09-27 3:51:56.100
422,866,38,1018,85,31.6,50,2023-09-27 3:52:00.100
421,866,36,1017,85,31.6,50,2023-09-27 3:52:04.100
422,865,38,1019,85,31.6,50,2023-09-27 3:52:08.100
421,865,37,1017,85,31.6,50,2023-09-27 3:52:12.100
422,868,34,1018,85,31.6,50,2023-09-27 3:52:16.100
420,869,34,1020,85,31.6,50,2023-09-27 3:52:20.100
421,870,36,1020,85,31.6,50,2023-09-27 3:52:24.100
423,865,38,1018,85,31.6,50,2023-09-27 3:52:28.100
421,865,36,1017,85,31.6,50,2023-09-27 3:52:32.100
424,867,38,1018,85,31.6,50,2023-09-27 3:52:36.100
420,868,34,1018,85,31.6,50,2023-09-27 3:52:40.100
421,866,37,1018,85,31.6,50,2023-09-27 3:52:44.100
421,868,36,1021,85,31.6,50,2023-09-27 3:52:48.100
421,868,37,1019,85,31.6,50,2023-09-27 3:52:52.100
422,865,38,1019,85,31.6,50,2023-09-27 3:52:56.100
421,867,37,1019,85,31.6,50,2023-09-27 3:53:00.100
423,865,35,1018,85,31.6,50,2023-09-27 3:53:04.100
422,869,35,1019,85,31.6,50,2023-09-27 3:53:08.100
422,865,37,1017,85,31.6,50,2023-09-27 3:53:12.100
421,867,37,1017,85,31.6,50,2023-09-27 3:53:16.100
424,867,37,1018,85,31.6,50,2023-09-27 3:53:20.100
420,865,36,1020,85,31.6,50,2023-09-27 3:53:24.100
423,866,36,1019,85,31.6,50,2023-09-27 3:53:28.100
423,865,39,1016,85,31.6,50,2023-09-27 3:53:32.100
422,867,37,1017,85,31.6,50,2023-09-27 3:53:36.100
419,867,32,1018,85,31.6,50,2023-09-27 3:53:40.100
421,865,36,1018,85,31.6,50,2023-09-27 3:53:44.100
420,867,38,1019,85,31.6,50,2023-09-27 3:53:48.100
421,868,38,1017,85,31.6,50,2023-09-27 3:53:52.100
419,867,33,1020,85,31.6,50,2023-09-27 3:53:56.100
420,869,35,1021,85,31.6,50,2023-09-27 3:54:00.100
420,870,37,1020,85,31.6,50,2023-09-27 3:54:04.100
423,865,37,1018,85,31.6,50,2023-09-27 3:54:08.100
421,868,34,1019,84,31.6,50,2023-09-27 3:54:12.100
421,866,36,1017,84,31.6,50,2023-09-27 3:54:16.100
421,865,37,1017,85,31.6,50,2023-09-27 3:54:20.100
420,867,33,1018,85,31.6,50,2023-09-27 3:54:24.100
422,867,37,1021,85,31.6,50,2023-09-27 3:54:28.100
421,867,37,1020,85,31.6,50,2023-09-27 3:54:32.100
423,864,37,1016,85,31.6,50,2023-09-27 3:54:36.100
422,868,34,1023,85,31.6,50,2023-09-27 3:54:40.100
420,867,33,1017,85,31.6,50,2023-09-27 3:54:44.100
422,867,35,1022,85,31.6,50,2023-09-27 3:54:48.100
420,869,36,1022,85,31.6,50,2023-09-27 3:54:52.100
423,865,37,1017,85,31.6,50,2023-09-27 3:54:56.100
421,870,36,1019,85,31.6,50,2023-09-27 3:55:00.100
421,869,36,1018,85,31.6,50,2023-09-27 3:55:04.100
420,866,36,1019,85,31.6,50,2023-09-27 3:55:08.100
422,866,35,1019,85,31.6,50,2023-09-27 3:55:12.100
420,868,34,1019,85,31.6,50,2023-09-27 3:55:16.100
421,867,37,1018,85,31.6,50,2023-09-27 3:55:20.100
421,868,36,1017,85,31.6,50,2023-09-27 3:55:24.100
421,865,39,1017,85,31.6,50,2023-09-27 3:55:28.100
420,869,37,1020,85,31.6,50,2023-09-27 3:55:32.100
420,869,34,1020,85,31.6,50,2023-09-27 3:55:36.100
420,866,33,1017,85,31.6,50,2023-09-27 3:55:40.100
421,869,33,1018,85,31.6,50,2023-09-27 3:55:44.100
422,865,37,1017,85,31.6,50,2023-09-27 3:55:48.100
420,868,34,1022,85,31.6,50,2023-09-27 3:55:52.100
421,866,36,1018,85,31.6,50,2023-09-27 3:55:56.100
421,867,34,1018,85,31.6,50,2023-09-27 3:56:00.100
422,865,37,1016,85,31.6,50,2023-09-27 3:56:04.100
